Data extracted on 03/02/2024 20:34:08 from [ESTAT];Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35
France;Oil and petroleum products (excluding biofuel portion);89922,817;93251,55;89541,423;90351,663;84749,119;87686,646;92246,075;89408,374;93669,473;93144,571;90430,477;96614,993;94544,584;95947,012;97588,724;96367,06;95809,268;94709,158;92142,675;88709,351;85011,935;87736,417;85068,578;82967,961;82110,43;82949,762;80222,32;80898,688;78485,827;79020,135;65665,038;69829,029;70350,659
France;Renewables and biofuels;15125,256;17035,129;17688,378;16916,819;17087,899;16881,585;17111,422;16025,056;15902,714;16377,111;15602,641;16444,939;14884,047;15321,077;15697,405;15823,913;15611,19;17041,179;19390,391;19780,976;22187,381;19328,57;22856,512;25519,341;23718,072;24633,429;26663,881;26260,332;28356,404;28904,086;28803,448;31052,816;30070,643
Croatia;Total;9658,517;8100,872;7402,527;7585,626;7442,773;7667,867;8311,376;8483,907;8617,102;8828,058;8488,869;8833,292;9039,111;9673,746;9681,035;9850,906;9795,038;10181,539;9939,752;9570,16;9477,759;9284,118;8728,915;8559,519;8156,192;8508,426;8583,007;8888,239;8696,791;8814,045;8323,132;8718,183;8526,917
Croatia;Solid fossil fuels;814,98;515,706;401,793;340,918;212,955;174,894;143,669;243,271;232,683;206,444;431,682;479,958;579,242;649,442;690,02;683,59;634,629;689,168;709,141;506,568;682,451;702,845;631,555;674,764;646,754;605,362;651,151;392,335;366,355;418,431;361,191;415,335;406,488
Croatia;Natural gas;2194,561;2032,33;2106,664;2224,291;2092,777;1934,222;2167,433;2246,754;2159,759;2189,811;2209,415;2315,211;2370,335;2356,126;2458,147;2376,96;2350,731;2701,096;2576,763;2403,267;2632,352;2570,228;2413,242;2281,857;2019,411;2081,9;2170,532;2493,265;2292,207;2405,969;2525,202;2429,218;2132,856
Croatia;Oil and petroleum products (excluding biofuel portion);4856,452;3440,671;3235,233;3340,593;3407,972;3749,974;3941,285;4042,141;4305,389;4539,195;3994,781;4103,786;4271,178;4696,696;4420,401;4546,399;4636,746;4732,476;4486,55;4379,526;3734,785;3673,133;3274,571;3164,17;3122,947;3253,263;3257,604;3482,991;3371,976;3299,005;2806,259;2975,533;3311,918
Croatia;Renewables and biofuels;1200,796;1672,879;1419,885;1497,451;1465,956;1544,117;1913,244;1660,94;1679,374;1753,055;1557,501;1712,66;1553,357;1683,682;1850,558;1860,648;1738,017;1545,324;1641,857;1841,709;2079,366;1718,416;1762,451;2097,312;2017,032;1974,837;2017,989;1910,209;2183,473;2136,334;2192,633;2512,335;2225,758
Italy;Total;150792,212;154494,783;153469,878;152725,605;150839,05;163612,412;163182,303;165640,543;170569,409;172574,159;176185,338;176639,274;178029,171;186803,422;188158,467;191686,53;190285,894;190011,376;187549,222;174923,555;179819,191;173688,362;166908,125;160570,376;151758,638;157629,547;156490,332;161815,269;159710,888;158086,438;144034,889;156470,468;150044,041
Italy;Solid fossil fuels;14631,29;13796,939;12191,199;10656,065;11363,9;12280,498;11241,485;11344,122;11785,087;11770,298;12560,073;13359,992;13729,932;14875,923;16595,742;16468,92;16673,366;16327,822;15798,414;12368,336;13673,981;15331,374;15714,641;13536,181;13058,829;12299,68;10983,003;9341,797;8538,161;6480,37;5094,549;5537,733;7410,534
Italy;Natural gas;39001,29;41475;41112,167;41949,871;40536,866;44652,343;46066,81;47485,834;51126,247;55568,723;57940,284;58099,205;57706,126;63620,959;66018,981;70651,247;69191,81;69530,868;69519,411;63901,913;68056,664;63814,144;61355,61;57386,715;50706,083;55301,505;58079,579;61549,023;59513,398;60949,061;58285,821;62430,445;56103,94
Italy;Oil and petroleum products (excluding biofuel portion);87543,166;88554,64;89096,206;88645,746;87342,077;95580,077;94132,325;94625,893;94870,854;91502,765;91500,472;90385,925;91057,794;90538,601;88000,343;85560,319;84460,21;82401,354;78329,869;72958,592;71386,109;68449,607;61114,669;58515,656;56564,777;58622,661;57042,958;57722,322;57470,009;56682,993;47350,988;53508,275;53996,43
Italy;Renewables and biofuels;6472,418;7510,562;7921,601;7975,399;8253,836;7719,246;8354,839;8654,667;9043,427;9773,407;10112,826;10341,081;10889,378;12909,269;12963,412;14106,718;15326,492;16945,996;19707,179;21026,557;21864,302;21025,853;23884,74;26370,626;26512,291;26268,705;26017,921;28821,095;29281,72;29512,128;29344,686;30172,945;27707,841
Cyprus;Total;1675,819;1746,029;1918,704;1982,482;2243,225;2041,34;2244,482;2205,163;2350,617;2420,579;2614,442;2638,842;2603,392;2804,066;2567,622;2835,35;2940,847;3038,352;3173,389;3063,635;2945,147;2910,183;2735,813;2440,425;2477,117;2541,862;2750,316;2826,805;2902,436;2903,469;2558,567;2662,036;2859,166
Cyprus;Solid fossil fuels;64,06;64,06;17,171;20,473;17,831;13,208;11,887;12,548;17,171;19,812;32,36;33,976;33,419;34,559;39,089;35,671;38,81;33,315;28,069;14,559;16,779;7,46;0,124;0,124;2,218;3,679;0;2,98;13,614;17,199;14,004;40,105;30,593
Cyprus;Natural gas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cyprus;Oil and petroleum products (excluding biofuel portion);1605,621;1676,428;1896,04;1956,54;2211,577;1983,575;2187,322;2148,166;2287,66;2354,991;2536,414;2558,983;2522,418;2718,562;2473,868;2742,673;2844,444;2924,959;3040,957;2936,099;2811,782;2776,845;2599,409;2299,458;2330,931;2369,9;2572,326;2623,583;2627,532;2609,186;2231,709;2284,07;2475,752
Cyprus;Renewables and biofuels;6,138;5,541;5,493;5,47;13,817;44,557;45,273;44,449;45,787;45,775;45,667;45,452;47,554;50,588;52,969;53,71;55,849;73,2;98,655;106,384;109,445;125,783;135,707;139,768;136,421;155,958;162,155;178,69;238,322;246,298;278,052;297,44;306,301
Latvia;Total;8425,634;7653,485;6324,347;5528,912;5095,645;4784,953;4692,311;4548,387;4389,529;4031,649;3872,533;4338,131;4321,359;4563,26;4688,849;4849,113;4961,881;5063,961;4899,481;4783,122;4880,809;4591,894;4778,279;4706,174;4684,209;4634,173;4706,689;4811,298;4831,547;4940,251;4568,313;4787,767;4512,909
Latvia;Solid fossil fuels;630,924;542,925;453,827;412,212;295,194;176,337;167,5;140,79;106,172;93,207;72,864;93,257;75,734;67,091;65,852;79,63;85,252;104,013;104,652;84,612;106,504;109,635;90,975;70,895;58,864;46,258;40,313;40,385;45,233;39,281;22,966;17,166;11,227
Latvia;Natural gas;2380,159;2399,613;1725,279;1136,479;826,978;1009,824;865,176;1054,407;1032,975;989,789;1092,39;1269,733;1291,488;1347,27;1332,395;1357,889;1406,621;1359,566;1333,083;1227,193;1461,887;1288,414;1211,156;1204,686;1081,642;1098,388;1113,298;992,955;1169,043;1103,325;910,26;964,099;691,798
Latvia;Oil and petroleum products (excluding biofuel portion);3982,551;3217,74;2717,366;2574,972;2565,365;2055,453;2087,573;1805,978;1734,904;1489,913;1304,233;1481,314;1463,662;1576,193;1647,693;1744,342;1818,708;1928,34;1860,416;1759,365;1772,348;1614,718;1622,921;1647,861;1665,089;1740,582;1803,093;1821,552;1628,625;1837,415;1632,842;1702,449;1652,462
Latvia;Renewables and biofuels;1045,339;1051,949;984,943;1102,812;1171,245;1258,142;1211,056;1307,648;1411,187;1258,015;1190,906;1302,153;1264,58;1317,514;1452,94;1476,266;1430,842;1406,913;1377,473;1566,912;1434,397;1417,638;1651,431;1611,375;1613,366;1537,122;1623,757;1935,159;1862,443;1820,455;1809,28;1903,329;1907,845
